year,month,region,v_com,v_neg,v_neu,v_pos,t_sub,t_pol,f_score
1995,05,mi,0.9981,0.056,0.816,0.128,0.44659109409109415,0.08544199847771279,-0.8990916013717651
1995,05,ny,0.9405,0.055,0.875,0.07,0.40529220779220765,0.07168229918229917,-0.9990441203117371
1995,05,ph,0.9549,0.058,0.871,0.072,0.3633198653198652,0.033490740740740745,-0.9993274211883545
1995,05,ri,0.9748,0.035,0.896,0.069,0.4244179277512611,0.05298383715050383,-0.9975883960723877
1995,05,sf,0.9977,0.061,0.805,0.134,0.3556649714902142,0.06990084618725395,-0.9917899370193481
1995,05,sl,0.9988,0.023,0.838,0.14,0.44639971139971124,0.13761817201137588,-0.9965842962265015
1995,05,su,0.9947,0.054,0.851,0.095,0.3815316429602144,0.13426278086992374,-0.9923586249351501
1995,06,at,0.9912,0.059,0.84,0.101,0.3748528138528138,0.07886622174122174,-0.8484264016151428
1995,06,bo,0.9936,0.055,0.825,0.12,0.39178579270970576,0.09916858805445761,-0.9905548691749573
1995,06,ch,0.9996,0.039,0.78,0.18,0.39322439855226726,0.05963159108650913,-0.9060792922973633
1995,06,cl,0.9943,0.07,0.798,0.132,0.3726590821103015,0.07137137929820855,-0.9976282715797424
1995,06,da,0.9762,0.103,0.78,0.116,0.3992411998775636,0.07152861952861954,-0.9945367574691772
1995,06,kc,0.9849,0.067,0.821,0.112,0.35761070084599494,0.04129060209942561,-0.9838858842849731
1995,06,mi,0.9981,0.052,0.82,0.129,0.4486519229562708,0.11321331325679151,-0.8906401991844177
1995,06,ny,0.9857,0.062,0.842,0.096,0.39244227994227965,0.09130140692640693,-0.9348948001861572
1995,06,ph,0.9658,0.044,0.895,0.061,0.31348539745278886,0.048508179622310056,-0.9996510744094849
1995,06,ri,0.9977,0.02,0.872,0.108,0.4069829811765295,0.014038649522520482,-0.9984398484230042
1995,06,sf,0.9959,0.056,0.82,0.124,0.3900137957280815,0.072415441701156,-0.993894636631012
1995,06,sl,0.9866,0.031,0.895,0.073,0.38543365990734413,0.10843795093795093,-0.9980966448783875
1995,06,su,0.9981,0.069,0.814,0.117,0.3902181934396698,0.06287530143234839,-0.9773765802383423
1995,08,at,0.9981,0.063,0.788,0.149,0.3596985590167409,0.10154534859080318,-0.9785500764846802
1995,08,bo,0.9951,0.058,0.809,0.133,0.37959483881813977,0.09329477157147059,-0.9997965693473816
1995,08,ch,0.9994,0.04,0.813,0.147,0.4556187356187356,0.09257661070161072,-0.8856549859046936
1995,08,cl,0.9977,0.054,0.798,0.148,0.3831688912938913,0.04973548731361232,-0.9808706641197205
1995,08,da,0.9894,0.105,0.768,0.127,0.41274641458314915,0.1340024148187413,-0.9942365288734436
1995,08,kc,0.9922,0.08,0.783,0.137,0.4066037027119501,0.02766516416000953,-0.8967071175575256
1995,08,mi,0.9977,0.062,0.813,0.125,0.44497304982599095,0.08954940688396572,0.5441054105758667
1995,08,ny,-0.9281,0.066,0.885,0.049,0.39486260454002364,0.061909028844512694,-0.9974337220191956
1995,08,ph,0.9982,0.027,0.86,0.113,0.38326692914928195,0.07400623069740717,-0.9985641837120056
1995,08,ri,0.9965,0.051,0.837,0.113,0.4065406085142926,0.05870138633296529,-0.9935216307640076
1995,08,sf,0.984,0.049,0.869,0.081,0.4033984870348507,0.036504875595784685,-0.9954856038093567
1995,08,sl,0.9956,0.052,0.83,0.118,0.40889450056116733,0.10935044893378223,-0.998443067073822
1995,08,su,0.9934,0.065,0.847,0.087,0.40927898342791935,0.118710344029493,-0.9935818910598755
1995,09,at,0.9935,0.068,0.804,0.128,0.3560146103896104,0.1050227897102897,-0.854684591293335
1995,09,bo,0.9969,0.048,0.815,0.138,0.43463175713175717,0.14183205683205682,-0.9998650550842285
1995,09,ch,0.9994,0.038,0.813,0.149,0.42773544669114294,0.07718057610462674,-0.9874010682106018
1995,09,cl,0.9972,0.042,0.828,0.13,0.39022117114709703,0.07125069032476442,-0.8703523874282837
1995,09,da,-0.9408,0.144,0.74,0.116,0.41390431672346584,0.07812156519603328,-0.9980484247207642
1995,09,kc,0.981,0.068,0.829,0.103,0.395387578979812,0.06402065033132998,-0.9957094192504883
1995,09,mi,0.9952,0.073,0.809,0.118,0.40041740143914056,0.09884884680536854,0.8685525059700012
1995,09,ny,-0.9084,0.095,0.834,0.071,0.39029948960504507,0.059603308214419316,-0.9988502264022827
1995,09,ph,0.9918,0.035,0.866,0.098,0.32643343938524655,0.06571306872511692,-0.9917542934417725
1995,09,ri,0.9902,0.048,0.863,0.089,0.3949462574462574,-0.0017264462117403314,-0.994858980178833
1995,09,sf,0.9904,0.052,0.846,0.102,0.4215065157065156,0.06418729048729047,-0.9944713115692139
1995,09,sl,0.9807,0.037,0.892,0.071,0.4327598518320169,0.11377248181371892,-0.9988694787025452
1995,09,su,0.9978,0.043,0.842,0.115,0.4373462380699225,0.1190988519277993,-0.9956426620483398
1995,11,at,0.9958,0.051,0.841,0.107,0.344139483704701,0.12453528355702267,-0.9970148801803589
1995,11,bo,0.9935,0.04,0.862,0.099,0.3895394076822647,0.08927217755789182,-0.9996606111526489
1995,11,ch,0.9991,0.038,0.821,0.141,0.33817549197983976,0.07323951209820773,-0.9983057975769043
1995,11,cl,0.9958,0.058,0.819,0.123,0.3761532440306026,0.07598190462577256,-0.9974101185798645
1995,11,da,-0.99,0.125,0.802,0.073,0.3486707988980718,0.0738236914600551,-0.9973657727241516
1995,11,kc,0.9839,0.081,0.802,0.116,0.3945671795671796,0.04188401938401937,-0.9981196522712708
1995,11,mi,0.9996,0.031,0.806,0.164,0.4419523760105952,0.1455961770345332,0.9774861335754395
1995,11,ny,-0.9478,0.073,0.879,0.048,0.40719864328111727,0.08323849689829074,-0.998915433883667
1995,11,ph,0.995,0.05,0.841,0.109,0.33210140922906883,0.047113325504282946,-0.981359601020813
1995,11,ri,0.9929,0.034,0.877,0.089,0.36699209030669705,0.07420739372986565,-0.9976907968521118
1995,11,sf,0.9977,0.07,0.779,0.151,0.33633109945609946,0.09408744033744032,-0.9245786666870117
1995,11,sl,0.6901,0.048,0.897,0.055,0.3707066544566544,0.08447878510378508,-0.9946304559707642
1995,11,su,0.9968,0.049,0.834,0.117,0.3501146155431869,0.06232508761080188,-0.9897043108940125
1995,12,at,0.9978,0.043,0.812,0.145,0.3999554367201425,0.15161337262177602,-0.9302263259887695
1995,12,bo,0.9924,0.035,0.861,0.104,0.3863296627859734,0.08046624357303973,-0.9953427314758301
1995,12,ch,0.9957,0.055,0.839,0.106,0.37128898878898875,0.04754267954267955,-0.9866674542427063
1995,12,cl,0.9978,0.035,0.822,0.143,0.388741341991342,0.11995603354978361,-0.9967435002326965
1995,12,da,0.9939,0.091,0.782,0.128,0.3873520249221185,0.1043642027754177,-0.9994163513183594
1995,12,kc,0.9936,0.075,0.797,0.127,0.39127439610198234,0.09042418548884064,-0.9849539995193481
1995,12,mi,0.9993,0.027,0.826,0.146,0.4256247086247086,0.1583026556776557,-0.6814607977867126
1995,12,ny,0.9758,0.081,0.817,0.102,0.418407930234017,0.09057663592446207,-0.9985260367393494
1995,12,ph,0.999,0.021,0.82,0.159,0.3668296409472879,0.05347338935574231,-0.9892606735229492
1995,12,ri,0.9887,0.028,0.894,0.078,0.3658875273554172,0.0635092990597578,-0.9987931251525879
1995,12,sf,0.9704,0.057,0.855,0.088,0.37233836624080524,0.09479287650019359,-0.9529991149902344
1995,12,sl,0.9943,0.062,0.831,0.107,0.3815075993580666,0.08681936184272633,-0.9501171708106995
1995,12,su,0.9966,0.087,0.793,0.12,0.4186469365714647,0.10687839763311462,-0.9961503744125366
1996,01,at,0.9933,0.041,0.854,0.105,0.3834172317358157,0.13292475960617556,-0.9926274418830872
1996,01,bo,0.9966,0.069,0.792,0.139,0.3586193667443667,0.09423975330225327,-0.9996587038040161
1996,01,ch,0.9983,0.037,0.841,0.122,0.3694981895676339,0.11369936133825025,-0.985094428062439
1996,01,cl,0.9963,0.061,0.797,0.142,0.3744923220239676,0.09005958176844252,-0.9947119951248169
1996,01,da,0.9943,0.086,0.789,0.125,0.41665361952861957,0.09726872895622897,-0.9992220401763916
1996,01,kc,0.9728,0.081,0.814,0.105,0.3893946211269046,0.05502198588812761,-0.9879760146141052
1996,01,mi,0.997,0.059,0.826,0.115,0.4353129679544774,0.0669990674943505,-0.9980764389038086
1996,01,ny,-0.8844,0.074,0.868,0.057,0.3846738488783942,0.053851215072805984,-0.9995493292808533
1996,01,ph,0.9895,0.039,0.872,0.089,0.3553848003848004,0.04083633958633958,-0.9999574422836304
