DATE,WILL5000INDFC_PC1
2012-05-01,1.14436
2012-06-01,3.43561
2012-07-01,3.13656
2012-08-01,19.51187
2012-09-01,24.79570
2012-10-01,21.00777
2012-11-01,15.55918
2012-12-01,16.77522
2013-01-01,16.64082
2013-02-01,14.12580
2013-03-01,14.48665
2013-04-01,16.17083
2013-05-01,25.60400
2013-06-01,26.02031
2013-07-01,26.86781
2013-08-01,23.85846
2013-09-01,21.56156
2013-10-01,24.91213
2013-11-01,32.51116
2013-12-01,31.48503
2014-01-01,27.20079
2014-02-01,24.22229
2014-03-01,24.20062
2014-04-01,22.09837
2014-05-01,17.85638
2014-06-01,23.28920
2014-07-01,20.39574
2014-08-01,19.30848
2014-09-01,19.49244
2014-10-01,13.12375
2014-11-01,15.70605
2014-12-01,14.23058
2015-01-01,11.70462
2015-02-01,15.07209
2015-03-01,12.35388
2015-04-01,14.09249
2015-05-01,13.58601
2015-06-01,9.64398
2015-07-01,7.81724
2015-08-01,5.41903
2015-09-01,-0.81501
2015-10-01,5.87687
2015-11-01,2.71402
2015-12-01,0.73844
2016-01-01,-5.50278
2016-02-01,-9.35103
2016-03-01,-3.41325
2016-04-01,-1.44001
2016-05-01,-2.14902
2016-06-01,-0.71219
2016-07-01,3.02672
2016-08-01,7.61481
2016-09-01,12.07418
2016-10-01,7.64031
2016-11-01,6.57136
2016-12-01,12.90713
2017-01-01,23.17772
2017-02-01,27.64676
2017-03-01,20.87945
2017-04-01,17.33218
2017-05-01,19.23217
2017-06-01,19.78325
2017-07-01,17.12236
2017-08-01,15.02818
2017-09-01,17.70832
2017-10-01,21.83664
2017-11-01,21.70180
2017-12-01,20.04687
2018-01-01,23.95008
2018-02-01,17.39413
2018-03-01,16.32018
2018-04-01,14.46866
2018-05-01,15.25405
2018-06-01,16.12831
2018-07-01,16.63293
2018-08-01,19.47786
2018-09-01,19.04223
2018-10-01,10.42421
2018-11-01,6.54891
2018-12-01,-2.51639
2019-01-01,-4.84201
2019-02-01,4.13203
2019-03-01,5.55551
2019-04-01,11.01673
2019-05-01,6.96814
2019-06-01,5.38149
2019-07-01,7.79823
2019-08-01,1.68283
2019-09-01,3.01484
2019-10-01,7.66929
2019-11-01,14.87856
2019-12-01,25.02919
2020-01-01,26.33263
2020-02-01,19.16905
2020-03-01,-6.21655
2020-04-01,-5.88551
2020-05-01,2.22417
2020-06-01,.
