year,month,region,filesize
1974,09,mi,4834
1974,09,ny,5097
1974,09,ph,4016
1974,09,ri,5005
1974,09,sf,4432
1974,09,sl,4028
1974,09,su,4239
1974,10,at,4717
1974,10,bo,3437
1974,10,ch,4364
1974,10,cl,5081
1974,10,da,5099
1974,10,kc,5624
1974,10,mi,5361
1974,10,ny,4354
1974,10,ph,3659
1974,10,ri,5741
1974,10,sf,4460
1974,10,sl,3143
1974,10,su,5102
1974,11,at,7046
1974,11,bo,3828
1974,11,ch,5128
1974,11,cl,5372
1974,11,da,4947
1974,11,kc,5685
1974,11,mi,5502
1974,11,ny,4207
1974,11,ph,3847
1974,11,ri,4748
1974,11,sf,4562
1974,11,sl,2633
1974,11,su,6099
1974,12,at,6194
1974,12,bo,5214
1974,12,ch,5313
1974,12,cl,5847
1974,12,da,5296
1974,12,kc,4938
1974,12,mi,5168
1974,12,ny,4767
1974,12,ph,3870
1974,12,ri,5622
1974,12,sf,3447
1974,12,sl,4072
1974,12,su,5234
1975,01,at,5820
1975,01,bo,5774
1975,01,ch,6001
1975,01,cl,6148
1975,01,da,4492
1975,01,kc,5748
1975,01,mi,4729
1975,01,ny,5226
1975,01,ph,4353
1975,01,ri,5380
1975,01,sf,4924
1975,01,sl,5274
1975,01,su,6253
1975,02,at,6162
1975,02,bo,6402
1975,02,ch,4867
1975,02,cl,6483
1975,02,da,5514
1975,02,kc,4700
1975,02,mi,5672
1975,02,ny,5027
1975,02,ph,4542
1975,02,ri,5557
1975,02,sf,4025
1975,02,sl,3561
1975,02,su,4723
1975,03,at,6211
1975,03,bo,5973
1975,03,ch,5968
1975,03,cl,5521
1975,03,da,4775
1975,03,kc,6137
1975,03,mi,4847
1975,03,ny,6362
1975,03,ph,4728
1975,03,ri,5621
1975,03,sf,4143
1975,03,sl,4731
1975,03,su,5520
1975,04,at,6726
1975,04,bo,6154
1975,04,ch,6363
1975,04,cl,6488
1975,04,da,5291
1975,04,kc,4352
1975,04,mi,4471
1975,04,ny,6298
1975,04,ph,4499
1975,04,ri,6066
1975,04,sf,4880
1975,04,sl,4828
1975,04,su,5846
1975,05,at,5214
1975,05,bo,5400
1975,05,ch,5601
1975,05,cl,6196
1975,05,da,5464
1975,05,kc,5591
1975,05,mi,4982
1975,05,ny,3662
1975,05,ph,4672
1975,05,ri,6148
1975,05,sf,4246
1975,05,sl,3502
1975,05,su,5160
1975,06,at,5715
1975,06,bo,5005
1975,06,ch,5149
1975,06,cl,5704
1975,06,da,5991
1975,06,kc,4754
1975,06,mi,4866
1975,06,ny,4855
1975,06,ph,5676
1975,06,ri,5632
1975,06,sf,4694
1975,06,sl,4224
1975,06,su,4800
1975,07,at,5813
1975,07,bo,4778
1975,07,ch,5297
1975,07,cl,6245
1975,07,da,4840
1975,07,kc,5326
1975,07,mi,4262
1975,07,ny,4794
1975,07,ph,5647
1975,07,ri,6066
1975,07,sf,3825
1975,07,sl,3728
1975,07,su,4707
1975,08,at,5525
1975,08,bo,5350
1975,08,ch,4867
1975,08,cl,7625
1975,08,da,5048
1975,08,kc,5663
1975,08,mi,3158
1975,08,ny,4390
1975,08,ph,5413
1975,08,ri,5573
1975,08,sf,4433
1975,08,sl,3768
1975,08,su,4947
1975,09,at,6416
1975,09,bo,4807
1975,09,ch,5155
1975,09,cl,7274
1975,09,da,5202
1975,09,kc,5426
1975,09,mi,4072
1975,09,ny,5446
1975,09,ph,5613
1975,09,ri,5977
1975,09,sf,3491
1975,09,sl,3914
1975,09,su,4856
1975,10,at,6209
1975,10,bo,5895
1975,10,ch,5439
1975,10,cl,5267
1975,10,da,5415
1975,10,kc,4176
1975,10,mi,4077
1975,10,ny,4589
1975,10,ph,5415
1975,10,ri,5584
1975,10,sf,3846
1975,10,sl,3563
1975,10,su,4799
1975,11,at,6056
1975,11,bo,6131
1975,11,ch,5233
1975,11,cl,5760
1975,11,da,5825
1975,11,kc,5106
1975,11,mi,5283
1975,11,ny,4048
1975,11,ph,5623
1975,11,ri,5285
1975,11,sf,4699
1975,11,sl,4518
1975,11,su,4872
1975,12,at,6410
1975,12,bo,6331
1975,12,ch,5177
1975,12,cl,5689
1975,12,da,5696
1975,12,kc,4156
1975,12,mi,5210
1975,12,ny,5957
1975,12,ph,4897
1975,12,ri,5793
1975,12,sf,3973
1975,12,sl,4143
1975,12,su,4910
1976,01,at,5858
1976,01,bo,4877
1976,01,ch,4845
1976,01,cl,4648
1976,01,da,5363
1976,01,kc,4697
1976,01,mi,4351
1976,01,ny,5328
1976,01,ph,5106
1976,01,ri,5026
1976,01,sf,4232
1976,01,sl,3562
1976,01,su,6762
1976,02,at,7008
1976,02,bo,5790
1976,02,ch,5438
1976,02,cl,5884
1976,02,da,5093
1976,02,kc,4970
1976,02,mi,4811
1976,02,ny,5079
1976,02,ph,5596
1976,02,ri,5213
1976,02,sf,4344
1976,02,sl,4370
1976,02,su,6293
1976,03,at,5995
1976,03,bo,5410
1976,03,ch,5301
1976,03,cl,6186
1976,03,da,5633
1976,03,kc,5902
1976,03,mi,4809
1976,03,ny,6387
1976,03,ph,5377
1976,03,ri,4541
1976,03,sf,4220
1976,03,sl,4727
1976,03,su,4778
1976,04,at,4866
1976,04,bo,3814
1976,04,ch,4826
1976,04,cl,7064
1976,04,da,5717
1976,04,kc,4397
1976,04,mi,3627
1976,04,ny,6819
1976,04,ph,5822
1976,04,ri,4969
1976,04,sf,4367
1976,04,sl,4617
1976,04,su,4735
1976,05,at,4840
1976,05,bo,4303
1976,05,ch,6061
1976,05,cl,5788
1976,05,da,4169
1976,05,kc,5022
1976,05,mi,4675
1976,05,ny,5639
1976,05,ph,5786
1976,05,ri,5644
1976,05,sf,4715
1976,05,sl,4968
1976,05,su,5275
1976,06,at,6121
1976,06,bo,4434
1976,06,ch,4923
1976,06,cl,8840
1976,06,da,7421
1976,06,kc,7274
1976,06,mi,5562
1976,06,ny,5857
1976,06,ph,7859
1976,06,ri,6481
1976,06,sf,4056
1976,06,sl,5017
1976,06,su,6015
1976,07,at,5948
1976,07,bo,4794
1976,07,ch,6047
1976,07,cl,6880
1976,07,da,5582
1976,07,kc,5167
1976,07,mi,5483
1976,07,ny,6453
1976,07,ph,5837
1976,07,ri,5871
1976,07,sf,4259
1976,07,sl,5210
1976,07,su,4888
1976,08,at,5269
1976,08,bo,4063
1976,08,ch,5024
1976,08,cl,6464
1976,08,da,5710
1976,08,kc,5590
1976,08,mi,5371
1976,08,ny,5688
1976,08,ph,5784
1976,08,ri,5527
1976,08,sf,4439
1976,08,sl,5168
1976,08,su,5279
1976,09,at,5122
1976,09,bo,3739
1976,09,ch,5154
1976,09,cl,6868
1976,09,da,4983
1976,09,kc,5079
1976,09,mi,3568
1976,09,ny,6021
1976,09,ph,6041
1976,09,ri,4965
1976,09,sf,4156
1976,09,sl,4652
1976,09,su,4979
1976,10,at,6997
1976,10,bo,4521
1976,10,ch,5484
1976,10,cl,6324
1976,10,da,5578
1976,10,kc,6135
1976,10,mi,5433
1976,10,ny,7158
1976,10,ph,5771
1976,10,ri,4611
