year,month,region,v_com,v_neg,v_neu,v_pos,t_sub,t_pol
1983,07,kc,0.9971,0.05,0.816,0.134,0.4051562422252077,0.07560270189580534
1983,07,mi,0.9946,0.033,0.881,0.085,0.42620781995782026,0.09804344960594959
1983,07,ny,0.9962,0.06,0.83,0.11,0.3960829429322578,0.11131738124888813
1983,07,ph,0.9991,0.023,0.84,0.137,0.367552579695437,0.07493230975373831
1983,07,ri,0.9987,0.018,0.818,0.165,0.41319836293974216,0.11292145593869732
1983,07,sf,0.9979,0.063,0.788,0.149,0.45332247117961383,0.09205595991310278
1983,07,sl,0.9972,0.012,0.869,0.118,0.43563785173160174,0.14974443091630588
1983,07,su,0.9956,0.073,0.8,0.127,0.48324427580451673,0.109688494236687
1983,08,at,0.9989,0.044,0.823,0.133,0.4219570366740179,0.14380094748019273
1983,08,bo,0.9983,0.072,0.762,0.166,0.4852235133287765,0.15273735475051264
1983,08,ch,0.9898,0.074,0.826,0.1,0.4351862824675326,0.10126745129870134
1983,08,cl,0.9972,0.058,0.822,0.12,0.38549371488050715,0.07276913469130451
1983,08,da,0.9976,0.029,0.834,0.137,0.4117763592339863,0.10048609582507889
1983,08,kc,0.9967,0.065,0.806,0.129,0.4284704184704185,0.05881162818662818
1983,08,mi,0.9985,0.034,0.836,0.13,0.4189788797061525,0.15781864095500456
1983,08,ny,0.9969,0.06,0.801,0.139,0.42619378306878286,0.11901675485008827
1983,08,ph,0.9992,0.048,0.823,0.129,0.4265020768059442,0.1001407922954884
1983,08,ri,0.9963,0.024,0.847,0.13,0.4360558647701505,0.10103875489589774
1983,08,sf,0.9985,0.046,0.824,0.13,0.42317878028404343,0.07477396141869826
1983,08,sl,0.8154,0.056,0.876,0.067,0.4446479076479076,0.11938961038961038
1983,08,su,0.9965,0.095,0.746,0.159,0.4324853577794753,0.10907170443935152
1983,09,at,0.9985,0.06,0.798,0.142,0.43242151549238167,0.1053929338378157
1983,09,bo,0.998,0.073,0.757,0.169,0.44760313760313775,0.1433729233729234
1983,09,ch,0.9944,0.078,0.801,0.121,0.42866944959802106,0.05133773964131108
1983,09,cl,0.9846,0.064,0.839,0.097,0.3942477272727271,0.06809848484848481
1983,09,da,0.9947,0.074,0.79,0.137,0.4182578449742628,0.0471004285929659
1983,09,kc,0.9665,0.046,0.879,0.075,0.40216249799583126,-0.005361391694725025
1983,09,mi,0.9913,0.062,0.829,0.109,0.39969957621743346,0.1567933653647939
1983,09,ny,0.9746,0.073,0.823,0.104,0.4052580463015243,0.08162130623000191
1983,09,ph,0.9989,0.041,0.819,0.141,0.36305274971941637,0.09707651915985246
1983,09,ri,0.9876,0.021,0.9,0.079,0.3767795195825499,0.06548074540498781
1983,09,sf,0.9986,0.059,0.802,0.139,0.46387108988348635,0.09192655599680394
1983,09,sl,-0.2838,0.065,0.856,0.079,0.4204316839491259,0.15437325916977082
1983,09,su,0.9238,0.06,0.857,0.083,0.4348649991983324,0.1156580888247555
1983,11,at,0.9993,0.037,0.817,0.146,0.4411046691403835,0.130044449598021
1983,11,bo,0.9977,0.083,0.74,0.177,0.38057861040619656,0.14490529266391333
1983,11,ch,0.9981,0.078,0.774,0.147,0.4747858931192266,0.057572396739063426
1983,11,cl,0.9957,0.06,0.832,0.108,0.4000239276852179,0.06455823410460505
1983,11,da,0.9984,0.043,0.8,0.157,0.4312961309523809,0.08419494047619047
1983,11,kc,-0.4278,0.082,0.831,0.087,0.41353747170260907,0.05932096191270502
1983,11,mi,0.9888,0.072,0.823,0.105,0.39610787679753207,0.11273719336219334
